id,value
2025_08_Claim_Frequency,226.60216971319045
2025_08_Claim_Severity,47627914.14562695
2025_08_Total_Claim,10792588684.312622
2025_09_Claim_Frequency,250.8217970408658
2025_09_Claim_Severity,43119048.99148301
2025_09_Total_Claim,10815197354.7369
2025_10_Claim_Frequency,256.446212774962
2025_10_Claim_Severity,44809177.36366288
2025_10_Total_Claim,11491143832.472902
2025_11_Claim_Frequency,257.47255832238227
2025_11_Claim_Severity,46067418.85722716
2025_11_Total_Claim,11861096188.479033
2025_12_Claim_Frequency,245.2894254887493
2025_12_Claim_Severity,44582407.80458799
2025_12_Total_Claim,10935593197.29252
2026_01_Claim_Frequency,254.4039668299013
2026_01_Claim_Severity,44563776.54325806
2026_01_Total_Claim,11337201529.526155
2026_02_Claim_Frequency,248.5843954623814
2026_02_Claim_Severity,45657690.94640145
2026_02_Total_Claim,11349789502.119448
2026_03_Claim_Frequency,254.2701848405001
2026_03_Claim_Severity,46774173.13654716
2026_03_Total_Claim,11893277649.1914
2026_04_Claim_Frequency,245.6841858907812
2026_04_Claim_Severity,46367835.912559725
2026_04_Total_Claim,11391844017.694565
2026_05_Claim_Frequency,245.66797356187516
2026_05_Claim_Severity,46195292.52315802
2026_05_Total_Claim,11348703902.262272
2026_06_Claim_Frequency,247.90537514035955
2026_06_Claim_Severity,47317762.273772
2026_06_Total_Claim,11730327607.2818
2026_07_Claim_Frequency,264.7890180213866
2026_07_Claim_Severity,46342175.70868015
2026_07_Total_Claim,12270899198.87597
2026_08_Claim_Frequency,246.54501105068965
2026_08_Claim_Severity,46716744.45001829
2026_08_Total_Claim,11517780276.682005
2026_09_Claim_Frequency,244.7994213184359
2026_09_Claim_Severity,43321967.28710369
2026_09_Total_Claim,10605192522.259192
2026_10_Claim_Frequency,260.4801004966223
2026_10_Claim_Severity,45140713.35037868
2026_10_Total_Claim,11758257549.995855
2026_11_Claim_Frequency,257.47255832238227
2026_11_Claim_Severity,45308875.60127816
2026_11_Total_Claim,11665792115.771652
2026_12_Claim_Frequency,257.95992435412086
2026_12_Claim_Severity,39695421.88295544
2026_12_Total_Claim,10239828026.1321
